I,Q
1.9079041443623242e-07,-9.767781890716024e-08
1.8806301475766306e-06,3.276079231909388e-07
4.311694409479226e-06,3.82266335660744e-06
4.2092937015804086e-06,1.0328776635334016e-05
-2.3013803090321078e-06,1.477774301145444e-05
-1.656998061851277e-05,7.947991956303746e-06
-3.4767745666334025e-05,-1.8967622785286456e-05
-4.769872345685931e-05,-6.772062993577441e-05
-4.41139013760453e-05,-0.00012780135396399137
-1.6788185916133826e-05,-0.00017640489653113065
3.118746802688426e-05,-0.0001853962547204876
8.333237229306834e-05,-0.00013367317273577466
0.00011266197007468535,-1.9938377207287518e-05
9.10114044213919e-05,0.0001306221701171408
2.219422262793178e-06,0.0002707195059221769
-0.00014594815379936047,0.00034695165537307495
-0.00031698098714269437,0.00032233570377223806
-0.0004519602758501597,0.0001960511295600585
-0.0004870913713268688,1.0490042191931235e-05
-0.00037762520208804457,-0.00016023632589139662
-0.00011962834473598714,-0.00023862501930770538
0.0002397474964759747,-0.00017912073775979825
0.000609889025421178,4.343386591660852e-06
0.0008825258733177021,0.00023248412794340598
0.0009687759847328495,0.0003830077958981286
0.0008349176974258867,0.00033621034823326463
0.0005229394870079063,2.7824485681708142e-05
0.0001457645276243829,-0.0005126325414606146
-0.00014465078178937843,-0.001156874380998342
-0.00020807642378539837,-0.0017136386944776518
3.078628884053074e-05,-0.001996418064896934
0.0005459446802386193,-0.001899534194854404
0.0012058449790302392,-0.0014521538985044794
0.001806306194883087,-0.0008248537553647846
0.002132776374491664,-0.0002795288427039974
0.0020327523343427628,-7.544337979886143e-05
0.001473940936941581,-0.00036366703096565346
0.0005668631387199493,-0.001110802190861856
-0.00045846176972582335,-0.0020860906671460403
-0.0013168454987506125,-0.0029247910961801363
-0.0017540157449890824,-0.003252133786285853
-0.0016269236738127078,-0.0028267964652595088
-0.0009517044166371527,-0.0016510006056394773
9.714220914209954e-05,-1.8683475665812411e-06
0.0012368341815339793,0.0016356421226608293
0.002159870602511715,0.0027185079669491993
0.0026243688066534716,0.00283011598075944
0.002522643586589824,0.001834807731239269
0.0019072663675476782,-5.570424155518167e-05
0.0009682837143170003,-0.002333687828430108
-2.882571056489277e-05,-0.004352858545186306
-0.0008230584502359747,-0.005541037041593152
-0.0012303425118035075,-0.005594570339209688
-0.0011879686352739582,-0.004584527663160537
-0.0007613997098344179,-0.002933915035974456
-0.00011657779745525838,-0.0012703969440177026
0.0005293969491898449,-0.00020415204349019802
0.0009626011484699614,-0.00010889890094941
0.0010176246033171145,-0.000984878540960274
0.0006065596525556855,-0.002454680577040865
-0.0002686421809587242,-0.003895812132489922
-0.0015165420102214808,-0.004664630680190407
-0.0029654595961643407,-0.004332631037897801
-0.0043809193344992335,-0.0028505501804848
-0.005493992715568425,-0.0005806381621128391
-0.006043610238215407,0.001816047819135975
-0.005831661582687475,0.0035990491960191232
-0.004781867126915412,0.004198523493349114
-0.002985585021703567,0.003409119599318878
-0.000714589009301599,0.0014610607883269924
0.001614091212972171,-0.0010548670613129436
0.0035226561694537296,-0.0033809226409969606
0.004589527273180857,-0.004837018472603984
0.0045659840378069715,-0.005033232695196385
0.0034531398755867737,-0.00398087168267517
0.0015078053542916033,-0.0020697813777904167
-0.0008325820972801803,7.406506691880102e-05
-0.00308683450664866,0.0017977242170565575
-0.004883884391932601,0.0026257445854098982
-0.006077307538900707,0.002395513450344118
-0.006773463638643215,0.0012871041411600143
-0.0072554892393322966,-0.0002513309772518134
-0.007825470903435102,-0.0016487113998145612
-0.008623289047956288,-0.0023754154684339024
-0.009497746979131723,-0.0020776997114573
-0.009994296718623947,-0.0006508659910126708
-0.009484770930627029,0.0017555163034031539
-0.007409993363013244,0.004786100721937415
-0.003555640960465236,0.007957636136543059
0.0017442418867142514,0.010743946146394266
0.007569802162678291,0.012655551774508155
0.012587896291932042,0.013311592090544102
0.015405239904414421,0.012505573214482492
0.015001499194075623,0.010261834126949063
0.011099375132177883,0.006869687833710274
0.004334618852420016,0.002874187336063905
-0.003854280591680549,-0.0009960835319926013
-0.011605360908841235,-0.0039691507849806025
-0.01717413770485515,-0.005417597028265101
-0.01946365545201599,-0.005047739520131615
-0.018362686408238345,-0.003027799960333772
-0.014767128893856498,1.972287987753807e-06
-0.010264254491846016,0.003065153071055687
-0.006577847167742205,0.005112463385099641
