I,Q
-5.188779354095459,12.471317291259766
-17.15675163269043,11.20345401763916
-17.73984718322754,-2.2373921871185303
-7.00445556640625,-18.017719268798828
1.4160895347595215,-32.021202087402344
6.149540424346924,-35.845458984375
7.31635856628418,-30.780689239501953
11.734356880187988,-17.907697677612305
17.815629959106445,-5.158716201782227
24.415904998779297,1.0311169624328613
24.468515396118164,-2.918818712234497
17.37261962890625,-12.083212852478027
6.563741207122803,-19.612308502197266
0.11837281286716461,-18.18703269958496
2.9952287673950195,-8.722009658813477
14.873429298400879,1.8862404823303223
28.63640785217285,6.616351127624512
35.532928466796875,-0.05177505686879158
31.95502281188965,-14.507871627807617
19.520030975341797,-28.270225524902344
4.68376350402832,-32.86296463012695
-5.465817451477051,-23.604623794555664
-5.746405124664307,-2.869131565093994
2.5169358253479004,18.173879623413086
11.567758560180664,27.19234275817871
15.327295303344727,20.99854278564453
8.658334732055664,3.8008737564086914
-6.773764133453369,-13.983649253845215
-22.66766357421875,-19.26032066345215
-33.37131881713867,-10.071500778198242
-34.13291549682617,7.124707221984863
-25.99420928955078,23.35618782043457
-15.273432731628418,28.93307113647461
-8.29841423034668,22.06389808654785
-7.148715496063232,7.017399311065674
-11.509928703308105,-6.689629554748535
-17.020631790161133,-10.429333686828613
-19.492265701293945,-2.6223647594451904
-18.274507522583008,10.101773262023926
-15.306209564208984,19.877864837646484
-15.206626892089844,19.62337303161621
-18.918981552124023,8.389646530151367
-24.712778091430664,-7.335773944854736
-28.1409969329834,-19.218984603881836
-26.642650604248047,-22.522775650024414
-18.807498931884766,-18.415218353271484
-5.573543071746826,-9.496338844299316
8.440378189086914,-1.9597276449203491
17.102678298950195,-0.4868525564670563
18.6907958984375,-5.039717197418213
14.160686492919922,-13.620806694030762
6.893180847167969,-22.693967819213867
1.31817626953125,-28.892986297607422
-1.7739219665527344,-30.013248443603516
-2.8764383792877197,-25.645355224609375
-3.9837565422058105,-16.58910369873047
-6.189624309539795,-3.124040126800537
-8.524721145629883,10.13956069946289
-9.18213939666748,20.15030860900879
-6.642865180969238,23.545541763305664
-1.0066908597946167,20.32275390625
5.779390811920166,10.528290748596191
10.510753631591797,-2.3603579998016357
9.388821601867676,-12.453362464904785
3.4962778091430664,-18.202899932861328
-5.207568645477295,-19.891643524169922
-13.569658279418945,-20.859710693359375
-17.89266586303711,-21.90648651123047
-18.385364532470703,-22.841360092163086
-15.980538368225098,-21.81608772277832
-14.131250381469727,-16.497453689575195
-14.32645034790039,-6.0391011238098145
-16.983888626098633,5.943275451660156
-18.903532028198242,15.020402908325195
-18.169496536254883,18.193086624145508
-12.700129508972168,15.5252103805542
-2.6384401321411133,9.839557647705078
8.691320419311523,4.794412136077881
17.066144943237305,5.505692958831787
18.99476432800293,9.977972030639648
16.41269302368164,15.132304191589355
12.175907135009766,17.079505920410156
10.67171573638916,14.235844612121582
14.803072929382324,8.571277618408203
22.435510635375977,5.263310432434082
29.898426055908203,7.155605316162109
31.908676147460938,13.899515151977539
25.065807342529297,21.479759216308594
10.073380470275879,22.726118087768555
-9.485065460205078,15.07614517211914
-25.490863800048828,0.5507363080978394
-32.165672302246094,-14.939818382263184
-28.274608612060547,-24.85849952697754
-15.159027099609375,-26.527618408203125
3.637197732925415,-20.55887222290039
21.51316261291504,-9.832250595092773
32.7976188659668,0.14613927900791168
36.009761810302734,5.781478404998779
32.59302520751953,9.374625205993652
24.377283096313477,12.702634811401367
12.869650840759277,16.759878158569336
2.144698143005371,20.739459991455078
-3.8290576934814453,22.148868560791016
-3.1204910278320312,18.19788932800293
4.164551734924316,10.348748207092285
14.952552795410156,2.2305028438568115
24.745346069335938,-2.008579969406128
27.98462677001953,-1.4388455152511597
22.67914581298828,1.1885298490524292
9.355835914611816,3.404210090637207
-6.295053482055664,1.316506028175354
-15.332097053527832,-3.71882700920105
-13.94147777557373,-8.590901374816895
-1.8645284175872803,-9.993420600891113
15.548174858093262,-5.272078514099121
28.915117263793945,2.014842987060547
32.530391693115234,5.646403789520264
26.617389678955078,2.153884172439575
12.372776985168457,-8.573156356811523
-3.0175671577453613,-21.597505569458008
-13.031030654907227,-27.55852699279785
-16.914785385131836,-22.15325164794922
-15.404749870300293,-5.431579113006592
-13.163182258605957,14.669251441955566
-11.824545860290527,28.315736770629883
-12.778209686279297,29.76105499267578
-13.6936674118042,18.395803451538086
-10.161480903625488,1.3052325248718262
-3.7691407203674316,-13.0610933303833
3.14324688911438,-17.624187469482422
5.840978145599365,-11.006166458129883
1.8879106044769287,2.366203546524048
-6.174384117126465,15.69222640991211
-14.142732620239258,22.2595157623291
-17.059045791625977,21.927989959716797
-12.14876651763916,17.196626663208008
-0.6478145122528076,11.450638771057129
11.696778297424316,7.97314977645874
19.518779754638672,7.926594257354736
19.0626163482666,11.656485557556152
11.766508102416992,17.22710609436035
1.3259007930755615,24.198993682861328
-8.626601219177246,30.346237182617188
-14.38991641998291,32.615570068359375
-17.77554702758789,29.73224449157715
-19.100194931030273,18.972427368164062
-19.193723678588867,0.7766258716583252
-15.788260459899902,-20.031936645507812
-8.095489501953125,-34.75254440307617
1.4352964162826538,-37.85320281982422
11.262953758239746,-29.50176239013672
17.566984176635742,-10.83643627166748
16.6646785736084,12.296784400939941
8.941218376159668,29.34748077392578
-1.2851905822753906,35.15505599975586
-9.145187377929688,32.30659103393555
-10.980278968811035,25.360383987426758
-6.32720422744751,18.521482467651367
1.8720440864562988,16.010183334350586
7.021365642547607,17.94611167907715
